Celebrity,Age,Race,Gender,Dance Role,Notability,Category,Professional Partner,Season,Finish,Average Judge Score
Trista Sutter,32,White,Female,Follower,Reality TV Personality,Influencer,Louis van Amstel,Season 1,6,6.16666666666667
Evander Holyfield,42,Black,Male,Leader,Professional Boxer,Fighter,Edyta Śliwińska,Season 1,5,5
Rachel Hunter,35,White,Female,Follower,Model,Influencer,Jonathan Roberts,Season 1,4,7.91666666666667
Joey McIntyre,32,White,Male,Leader,Singer,Music,Ashly DelGrosso,Season 1,3,7.11111111111111
John O'Hurley,50,White,Male,Leader,Actor,Acting,Charlotte Jørgensen,Season 1,2,8.29166666666667
Kelly Monaco,29,White,Female,Follower,Actress,Acting,Alec Mazo,Season 1,1,7.45833333333333
Kenny Mayne,46,White,Male,Leader,Sportscaster,Talk Show & News,Andrea Hale,Season 2,10,4.33333333333333
Tatum O'Neal,42,White,Female,Follower,Actress,Acting,Nick Kosovich,Season 2,9,6.66666666666667
Giselle Fernandez,44,Hispanic/Latino,Female,Follower,TV Journalist,Talk Show & News,Jonathan Roberts,Season 2,8,7.66666666666667
Master P,35,Black,Male,Leader,Rapper,Music,Ashly DelGrosso,Season 2,7,4.16666666666667
Tia Carrere,39,"Asian, Pacific Islander",Female,Follower,Actress,Acting,Maksim Chmerkovskiy,Season 2,6,7.66666666666667
George Hamilton,66,White,Male,Leader,Actor,Acting,Edyta Śliwińska,Season 2,5,7.22222222222222
Lisa Rinna,42,White,Female,Follower,"Actress, TV Host","Acting, Talk Show & News",Louis van Amstel,Season 2,4,8.125
Stacy Keibler,26,White,Female,Follower,Professional Wrestler,Fighter,Tony Dovolani,Season 2,3,9.24242424242424
Jerry Rice,43,Black,Male,Leader,Professional Football Player,National Athlete,Anna Trebunskaya,Season 2,2,7.6969696969697
Drew Lachey,29,White,Male,Leader,Singer,Music,Cheryl Burke,Season 2,1,9.24242424242424
Tucker Carlson,37,White,Male,Leader,Political Journalist,Talk Show & News,Elena Grinenko,Season 3,11,4
Shanna Moakler,31,White,Female,Follower,Miss USA 1995,Influencer,Jesse DeSoto,Season 3,10,6.66666666666667
Harry Hamlin,54,White,Male,Leader,Actor,Acting,Ashly DelGrosso,Season 3,9,6.66666666666667
Vivica A. Fox,42,Black,Female,Follower,Actress,Acting,Nick Kosovich,Season 3,8,8.08333333333333
Willa Ford,25,White,Female,Follower,Singer,Music,Maksim Chmerkovskiy,Season 3,7,8.13333333333333
Sara Evans,35,White,Female,Follower,Singer,Music,Tony Dovolani,Season 3,WD,7
Jerry Springer,62,White,Male,Leader,TV Host,Talk Show & News,Kym Johnson,Season 3,5,6.91666666666667
Monique Coleman,25,Black,Female,Follower,Actress,Acting,Louis van Amstel,Season 3,4,8.43333333333333
Joey Lawrence,30,White,Male,Leader,Actor,Acting,Edyta Śliwińska,Season 3,3,8.83333333333333
Mario Lopez,33,Hispanic/Latino,Male,Leader,"Actor, TV Host","Acting, Talk Show & News",Karina Smirnoff,Season 3,2,9.2
Emmitt Smith,37,Black,Male,Leader,Professional Football Player,National Athlete,Cheryl Burke,Season 3,1,8.93333333333333
Paulina Porizkova,41,White,Female,Follower,Model,Influencer,Alec Mazo,Season 4,11,6.66666666666667
Shandi Finnessey,28,White,Female,Follower,Miss USA 2004,Influencer,Brian Fortuna,Season 4,10,6.66666666666667
Leeza Gibbons,50,White,Female,Follower,TV Host,Talk Show & News,Tony Dovolani,Season 4,9,6.33333333333333
Clyde Drexler,44,Black,Male,Leader,Professional Basketball Player,National Athlete,Elena Grinenko,Season 4,8,5.2
Heather Mills,39,White,Female,Follower,Model & Charity Campaigner,Influencer,Jonathan Roberts,Season 4,7,7.38888888888889
John Ratzenberger,60,White,Male,Leader,Actor,Acting,Edyta Śliwińska,Season 4,6,6.5
Billy Ray Cyrus,45,White,Male,Leader,Actor & Singer,"Acting, Music",Karina Smirnoff,Season 4,5,6.33333333333333
Ian Ziering,43,White,Male,Leader,TV & Broadway Actor,Acting,Cheryl Burke,Season 4,4,8.27777777777778
Laila Ali,29,Black,Female,Follower,Professional Boxer,Fighter,Maksim Chmerkovskiy,Season 4,3,9
Joey Fatone,30,White,Male,Leader,"Singer, Actor",Music,Kym Johnson,Season 4,2,9.15555555555556
Apolo Anton Ohno,25,Asian,Male,Leader,Olympic Speed Skater,Olympic Athlete,Julianne Hough,Season 4,1,9.17777777777778
Josie Maran,29,White,Female,Follower,"Model, Actress",Influencer,Alec Mazo,Season 5,12,5.33333333333333
Albert Reed,22,White,Male,Leader,Model,Influencer,Anna Trebunskaya,Season 5,11,7
Wayne Newton,65,White,Male,Leader,Singer,Music,Cheryl Burke,Season 5,10,5.77777777777778
Floyd Mayweather Jr.,30,Black,Male,Leader,Professional Boxer,Fighter,Karina Smirnoff,Season 5,9,6.91666666666667
Mark Cuban,49,White,Male,Leader,Entrepreneur,Businesspeople,Kym Johnson,Season 5,8,6.8
Sabrina Bryan,23,Hispanic/Latino,Female,Follower,"Singer, Actress","Music, Acting",Mark Ballas,Season 5,7,9
Jane Seymour,56,White,Female,Follower,Actress,Acting,Tony Dovolani,Season 5,6,8.16666666666667
Cameron Mathison,38,White,Male,Leader,Actor & TV Host,Acting,Edyta Śliwińska,Season 5,5,8.16666666666667
Jennie Garth,35,White,Female,Follower,Actress,Acting,Derek Hough,Season 5,4,8.55555555555556
Marie Osmond,48,White,Female,Follower,Singer,Music,Jonathan Roberts,Season 5,3,8.19047619047619
Mel B,32,Black,Female,Follower,Singer,Music,Maksim Chmerkovskiy,Season 5,2,9.2
Hélio Castroneves,32,Hispanic/Latino,Male,Leader,Indy 500 Champion,Racing/Riding,Julianne Hough,Season 5,1,9.04444444444444
Penn Jillette,53,White,Male,Leader,Magician,Other Shows,Kym Johnson,Season 6,12,5.5
Monica Seles,34,White,Female,Follower,Professional Tennis Player,Olympic Athlete,Jonathan Roberts,Season 6,11,5
Steve Guttenberg,49,White,Male,Leader,Actor,Acting,Anna Trebunskaya,Season 6,10,6.11111111111111
Adam Carolla,43,White,Male,Leader,"Comedian, Radio Host",Talk Show & News,Julianne Hough,Season 6,9,6.16666666666667
Priscilla Presley,62,White,Female,Follower,"Actress, Businesswoman",Acting,Louis van Amstel,Season 6,8,7.6
Marlee Matlin,42,White,Female,Follower,Actress,Acting,Fabian Sanchez,Season 6,7,7.44444444444444
Shannon Elizabeth,34,White,Female,Follower,Actress,Acting,Derek Hough,Season 6,6,8.125
Mario,21,Black,Male,Leader,Singer,Music,Karina Smirnoff,Season 6,5,8.46666666666667
Marissa Jaret Winokur,35,White,Female,Follower,Broadway Actress,"Acting, Music",Tony Dovolani,Season 6,4,7.94444444444444
Cristián de la Fuente,34,Hispanic/Latino,Male,Leader,Actor,Acting,Cheryl Burke,Season 6,3,8.4047619047619
Jason Taylor,33,Black,Male,Leader,Professional Football Player,National Athlete,Edyta Śliwińska,Season 6,2,8.77777777777778
Kristi Yamaguchi,36,Asian,Female,Follower,Olympic Figure Skater,Olympic Athlete,Mark Ballas,Season 6,1,9.44444444444444
Jeffrey Ross,43,White,Male,Leader,Comedian,Other Shows,Edyta Śliwińska,Season 7,13,4
Ted McGinley,50,White,Male,Leader,Actor,Acting,Inna Brayer,Season 7,12,6.16666666666667
Kim Kardashian,27,White,Female,Follower,Reality TV Personality,Influencer,Mark Ballas,Season 7,11,6
Misty May-Treanor,31,White,Female,Follower,Olympic Beach Volleyball Player,Olympic Athlete,Maksim Chmerkovskiy,Season 7,WD,7
Rocco DiSpirito,41,White,Male,Leader,Chef,Other Shows,Karina Smirnoff,Season 7,9,5.93333333333333
Toni Braxton,41,Black,Female,Follower,Singer-songwriter,Music,Alec Mazo,Season 7,8,7.44444444444444
Cloris Leachman,82,White,Female,Follower,Actress,Acting,Corky Ballas,Season 7,7,5.76190476190476
Susan Lucci,61,White,Female,Follower,Actress,Acting,Tony Dovolani,Season 7,6,7.11111111111111
Maurice Greene,34,Black,Male,Leader,Olympic Sprinter,Olympic Athlete,Cheryl Burke,Season 7,5,7.63636363636364
Cody Linley,18,White,Male,Leader,Actor,Acting,Julianne Hough,Season 7,4,7.51282051282051
Lance Bass,29,White,Male,Leader,Singer,Music,Lacey Schwimmer,Season 7,3,8.16666666666667
Warren Sapp,35,Black,Male,Leader,Professional Football Player,National Athlete,Kym Johnson,Season 7,2,8.27083333333333
Brooke Burke,37,White,Female,Follower,"TV Host, Model",Other Shows,Derek Hough,Season 7,1,9.02083333333333
Belinda Carlisle,50,White,Female,Follower,Singer-songwriter,Music,Jonathan Roberts,Season 8,13,5.83333333333333
Denise Richards,38,White,Female,Follower,Actress,Acting,Maksim Chmerkovskiy,Season 8,12,6.11111111111111
Holly Madison,29,White,Female,Follower,Model & Reality TV Personality,Influencer,Dmitry Chaplin,Season 8,11,5.75
Steve Wozniak,58,White,Male,Leader,Apple Co-Founder,Businesspeople,Karina Smirnoff,Season 8,10,4.33333333333333
David Alan Grier,52,Black,Male,Leader,"Actor, Comedian",Acting,Kym Johnson,Season 8,9,6.93333333333333
Steve-O,34,White,Male,Leader,Entertainer,Influencer,Lacey Schwimmer,Season 8,8,5.27777777777778
Lawrence Taylor,50,Black,Male,Leader,Professional Football Player,National Athlete,Edyta Śliwińska,Season 8,7,6.57142857142857
Chuck Wicks,29,White,Male,Leader,Singer,Music,Julianne Hough,Season 8,6,7.74074074074074
Lil' Kim,34,Black,Female,Follower,Rapper,Music,Derek Hough,Season 8,5,8.60606060606061
Ty Murray,39,White,Male,Leader,Professional Rodeo Cowboy,Racing/Riding,Chelsie Hightower,Season 8,4,7.46153846153846
Melissa Rycroft,26,White,Female,Follower,Reality TV Personality,Influencer,Tony Dovolani,Season 8,3,8.95833333333333
Gilles Marini,33,White,Male,Leader,Actor,Acting,Cheryl Burke,Season 8,2,9.35416666666667
Shawn Johnson,17,White,Female,Follower,Olympic Gymnast,Olympic Athlete,Mark Ballas,Season 8,1,8.97916666666667
Ashley Hamilton,34,White,Male,Leader,"Actor, Comedian",Acting,Edyta Śliwińska,Season 9,16,4.75
Macy Gray,42,Black,Female,Follower,Singer-songwriter,Music,Jonathan Roberts,Season 9,15,4.75
Kathy Ireland,46,White,Female,Follower,"Model, Entrepreneur",Influencer,Tony Dovolani,Season 9,14,5.42857142857143
Tom DeLay,62,White,Male,Leader,Former House Majority Leader,Public Server,Cheryl Burke,Season 9,WD,5.3
Debi Mazar,45,White,Female,Follower,Actress,Acting,Maksim Chmerkovskiy,Season 9,12,6
Chuck Liddell,39,White,Male,Leader,Professional UFC Fighter,Fighter,Anna Trebunskaya,Season 9,11,5.76923076923077
Natalie Coughlin,27,White,Female,Follower,Olympic Swimmer,Olympic Athlete,Alec Mazo,Season 9,10,7.5
Melissa Joan Hart,33,White,Female,Follower,Actress,Acting,Mark Ballas,Season 9,9,6.85
Louie Vito,21,White,Male,Leader,Professional Snowboarder,Olympic Athlete,Chelsie Hightower,Season 9,8,6.4
Michael Irvin,43,Black,Male,Leader,Professional Football Player,National Athlete,Anna Demidova,Season 9,7,6.11538461538462
Mark Dacascos,45,"Asian, Pacific Islander, Hispanic/Latino",Male,Leader,"TV Host, Martial Artist",Other Shows,Lacey Schwimmer,Season 9,6,7.34615384615385
Aaron Carter,21,White,Male,Leader,Singer,Music,Karina Smirnoff,Season 9,5,8.0625
Joanna Krupa,30,White,Female,Follower,Model,Influencer,Derek Hough,Season 9,4,8.5609756097561
Kelly Osbourne,25,White,Female,Follower,Singer,Music,Louis van Amstel,Season 9,3,8.0188679245283
Mýa,30,Black,Female,Follower,Singer-songwriter,Music,Dmitry Chaplin,Season 9,2,9.11320754716981
Donny Osmond,51,White,Male,Leader,Singer,Music,Kym Johnson,Season 9,1,8.52830188679245
Shannen Doherty,38,White,Female,Follower,Actress,Acting,Mark Ballas,Season 10,11,6.33333333333333
Buzz Aldrin,80,White,Male,Leader,Astronaut,Public Server,Ashly Costa,Season 10,10,4.33333333333333
Aiden Turner,33,White,Male,Leader,Actor,Acting,Edyta Śliwińska,Season 10,9,5.8
Kate Gosselin,35,White,Female,Follower,Reality TV Personality,Influencer,Tony Dovolani,Season 10,8,5.16666666666667
Jake Pavelka,32,White,Male,Leader,Reality TV Personality,Influencer,Chelsie Hightower,Season 10,7,6.68181818181818
Pamela Anderson,42,White,Female,Follower,"Actress, Model",Acting,Damian Whitewood,Season 10,6,7.60714285714286
Niecy Nash,40,Black,Female,Follower,"TV Host, Comedian, Actress",Other Shows,Louis van Amstel,Season 10,5,6.82352941176471
Chad Ochocinco,32,Black,Male,Leader,Professional Football Player,National Athlete,Cheryl Burke,Season 10,4,7.4
Erin Andrews,32,White,Female,Follower,Sportscaster,Talk Show & News,Maksim Chmerkovskiy,Season 10,3,8.22448979591837
Evan Lysacek,24,White,Male,Leader,Olympic Figure Skater,Olympic Athlete,Anna Trebunskaya,Season 10,2,8.71153846153846
Nicole Scherzinger,31,Pacific Islander,Female,Follower,Singer,Music,Derek Hough,Season 10,1,9.19230769230769
David Hasselhoff,58,White,Male,Leader,Actor,Acting,Kym Johnson,Season 11,12,5
Michael Bolton,57,White,Male,Leader,Singer-songwriter,Music,Chelsie Hightower,Season 11,11,4.66666666666667
Margaret Cho,41,Asian,Female,Follower,"Actress, Comdeian",Acting,Louis van Amstel,Season 11,10,5.66666666666667
The Situation,28,White,Male,Leader,Reality TV Personality,Influencer,Karina Smirnoff,Season 11,9,5.4
Florence Henderson,76,White,Female,Follower,Actress,Acting,Corky Ballas,Season 11,8,6.27777777777778
Audrina Patridge,25,White,Female,Follower,"Reality TV Personality, Model",Influencer,Tony Dovolani,Season 11,7,7.68181818181818
Rick Fox,41,Black,Male,Leader,Professional Basketball Player,National Athlete,Cheryl Burke,Season 11,6,7.62068965517241
Kurt Warner,39,White,Male,Leader,Professional Football Player,National Athlete,Anna Trebunskaya,Season 11,5,7.2
Brandy Norwood,31,Black,Female,Follower,"Singer, Actress",Music,Maksim Chmerkovskiy,Season 11,4,8.70731707317073
Bristol Palin,20,White,Female,Follower,Public Advocate,Public Server,Mark Ballas,Season 11,3,7.50943396226415
Kyle Massey,19,Black,Male,Leader,Actor,Acting,Lacey Schwimmer,Season 11,2,8.32075471698113
Jennifer Grey,50,White,Female,Follower,Actress,Acting,Derek Hough,Season 11,1,9.07547169811321
Mike Catherwood,32,Hispanic/Latino,Male,Leader,Radio Host,Talk Show & News,Lacey Schwimmer,Season 12,11,5
Wendy Williams,46,Black,Female,Follower,TV Host,Talk Show & News,Tony Dovolani,Season 12,10,5.11111111111111
Sugar Ray Leonard,54,Black,Male,Leader,Professional Boxer,Fighter,Anna Trebunskaya,Season 12,9,6.25
Petra Němcová,31,White,Female,Follower,Model,Influencer,Dmitry Chaplin,Season 12,8,7.06666666666667
Chris Jericho,40,White,Male,Leader,Professional Wrestler,Fighter,Cheryl Burke,Season 12,7,7.44444444444444
Kendra Wilkinson,25,White,Female,Follower,Reality TV Personality,Influencer,Louis van Amstel,Season 12,6,7.15384615384615
Romeo Miller,21,Black,Male,Leader,"Rapper, Actor","Music, Acting",Chelsie Hightower,Season 12,5,7.84375
Ralph Macchio,49,White,Male,Leader,Actor,Acting,Karina Smirnoff,Season 12,4,7.81578947368421
Chelsea Kane,22,White,Female,Follower,Actress,Acting,Mark Ballas,Season 12,3,8.68085106382979
Kirstie Alley,60,White,Female,Follower,"Actress, Comedian",Acting,Maksim Chmerkovskiy,Season 12,2,8.21276595744681
Hines Ward,35,"Asian, Black",Male,Leader,Professional Football Player,National Athlete,Kym Johnson,Season 12,1,8.87234042553191
Metta World Peace,31,Black,Male,Leader,Professional Basketball Player,National Athlete,Peta Murgatroyd,Season 13,12,4.66666666666667
Elisabetta Canalis,33,White,Female,Follower,"TV Host, Model, Actress",Influencer,Valentin Chmerkovskiy,Season 13,11,6
Kristin Cavallari,24,White,Female,Follower,Reality TV Personality,Influencer,Mark Ballas,Season 13,10,7.22222222222222
Chynna Phillips,43,White,Female,Follower,Singer-songwriter,Music,Tony Dovolani,Season 13,9,7.5
Carson Kressley,42,White,Male,Leader,Reality TV Personality,Influencer,Anna Trebunskaya,Season 13,8,6.46666666666667
Chaz Bono,42,White,Male,Leader,"Author, Activist",Other Shows,Lacey Schwimmer,Season 13,7,6.27777777777778
David Arquette,40,White,Male,Leader,Actor,Acting,Kym Johnson,Season 13,6,7.41666666666667
Nancy Grace,52,White,Female,Follower,Legal Commentator & Prosecutor,Talk Show & News,Tristan MacManus,Season 13,5,7.1
Hope Solo,30,White,Female,Follower,U.S. National Soccer Team Goalkeeper,Olympic Athlete,Maksim Chmerkovskiy,Season 13,4,7.64864864864865
Ricki Lake,43,White,Female,Follower,TV Host,Talk Show & News,Derek Hough,Season 13,3,8.8695652173913
Rob Kardashian,24,White,Male,Leader,Reality TV Personality,Influencer,Cheryl Burke,Season 13,2,8.40816326530612
J.R. Martinez,28,Hispanic/Latino,Male,Leader,Army Veteran,Public Server,Karina Smirnoff,Season 13,1,8.75510204081633
Martina Navratilova,55,White,Female,Follower,Professional Tennis Player,Olympic Athlete,Tony Dovolani,Season 14,12,6.16666666666667
Jack Wagner,52,White,Male,Leader,"Actor, Singer",Acting,Anna Trebunskaya,Season 14,11,7.55555555555556
Sherri Shepherd,45,Black,Female,Follower,"TV Host, Actress",Talk Show & News,Valentin Chmerkovskiy,Season 14,10,7.58333333333333
Gavin DeGraw,35,White,Male,Leader,Singer-songwriter,Music,Karina Smirnoff,Season 14,9,7.13333333333333
Gladys Knight,67,Black,Female,Follower,Singer,Music,Tristan MacManus,Season 14,8,6.94736842105263
Jaleel White,35,Black,Male,Leader,Actor,Acting,Kym Johnson,Season 14,7,8.28
Roshon Fegan,20,Black,Male,Leader,Actor,Acting,Chelsie Hightower,Season 14,6,8.45161290322581
Melissa Gilbert,48,White,Female,Follower,Actress,Acting,Maksim Chmerkovskiy,Season 14,5,7.58064516129032
Maria Menounos,33,White,Female,Follower,TV Host,Talk Show & News,Derek Hough,Season 14,4,8.75675675675676
William Levy,31,Hispanic/Latino,Male,Leader,Actor,Acting,Cheryl Burke,Season 14,3,9.19565217391304
Katherine Jenkins,31,White,Female,Follower,Singer,Music,Mark Ballas,Season 14,2,9.26086956521739
Donald Driver,37,Black,Male,Leader,Professional Football Player,National Athlete,Peta Murgatroyd,Season 14,1,9
Pamela Anderson,45,White,Female,Follower,"Actress, Model",Acting,Tristan MacManus,Season 15,13,5.66666666666667
Joey Fatone,35,White,Male,Leader,"Singer, Actor",Music,Kym Johnson,Season 15,12,7.16666666666667
Drew Lachey,36,White,Male,Leader,Singer,Music,Anna Trebunskaya,Season 15,11,7.55555555555556
Hélio Castroneves,37,Hispanic/Latino,Male,Leader,Indy 500 Champion,Racing/Riding,Chelsie Hightower,Season 15,10,7.77777777777778
Bristol Palin,21,White,Female,Follower,Public Advocate,Public Server,Mark Ballas,Season 15,9,7.07692307692308
Sabrina Bryan,28,Hispanic/Latino,Female,Follower,"Singer, Actress","Music, Acting",Louis van Amstel,Season 15,8,9
Kirstie Alley,61,White,Female,Follower,"Actress, Comedian",Acting,Maksim Chmerkovskiy,Season 15,7,7.96875
Gilles Marini,36,White,Male,Leader,Actor,Acting,Peta Murgatroyd,Season 15,6,8.765625
Apolo Anton Ohno,30,Asian,Male,Leader,Olympic Speed Skater,Olympic Athlete,Karina Smirnoff,Season 15,5,8.98684210526316
Emmitt Smith,43,Black,Male,Leader,Professional Football Player,National Athlete,Cheryl Burke,Season 15,4,8.86842105263158
Kelly Monaco,36,White,Female,Follower,Actress,Acting,Valentin Chmerkovskiy,Season 15,3,8.9468085106383
Shawn Johnson,20,White,Female,Follower,Olympic Gymnast,Olympic Athlete,Derek Hough,Season 15,2,9.08510638297872
Melissa Rycroft,29,White,Female,Follower,Reality TV Personality,Influencer,Tony Dovolani,Season 15,1,9.35106382978723
Dorothy Hamill,56,White,Female,Follower,Olympic Figure Skater,Olympic Athlete,Tristan MacManus,Season 16,WD,6
Wynonna Judd,48,White,Female,Follower,Singer,Music,Tony Dovolani,Season 16,11,5.66666666666667
Lisa Vanderpump,52,White,Female,Follower,Reality TV Personality,Influencer,Gleb Savchenko,Season 16,10,6.25
D.L. Hughley,50,Black,Male,Leader,"Comedian, Acting",Other Shows,Cheryl Burke,Season 16,9,5.53333333333333
Victor Ortiz,26,Hispanic/Latino,Male,Leader,Professional Boxer,Fighter,Lindsay Arnold,Season 16,8,6.57142857142857
Andy Dick,47,White,Male,Leader,"Actor, Comedian",Acting,Sharna Burgess,Season 16,7,6.41666666666667
Sean Lowe,29,White,Male,Leader,Reality TV Personality,Influencer,Peta Murgatroyd,Season 16,6,7.2
Ingo Rademacher,42,White,Male,Leader,Actor,Acting,Kym Johnson,Season 16,5,7.63888888888889
Alexandra Raisman,18,White,Female,Follower,Olympic Gymnast,Olympic Athlete,Mark Ballas,Season 16,4,8.90697674418605
Jacoby Jones,28,Black,Male,Leader,Professional Football Player,National Athlete,Karina Smirnoff,Season 16,3,8.47826086956522
Zendaya Coleman,16,Black,Female,Follower,Actress,Acting,Valentin Chmerkovskiy,Season 16,2,9.23913043478261
Kellie Pickler,26,White,Female,Follower,Singer,Music,Derek Hough,Season 16,1,9.10869565217391
Keyshawn Johnson,41,Black,Male,Leader,Professional Football Player,National Athlete,Sharna Burgess,Season 17,12,5.83333333333333
Bill Nye,57,White,Male,Leader,TV Host,Other Shows,Tyne Stecklein,Season 17,11,5.22222222222222
Valerie Harper,74,White,Female,Follower,TV & Broadway Actress,Acting,Tristan MacManus,Season 17,10,6.16666666666667
Christina Milian,32,Hispanic/Latino,Female,Follower,"Singer, Actress","Music, Acting",Mark Ballas,Season 17,9,8.33333333333333
"Nicole ""Snooki"" Polizzi",25,White,Female,Follower,Reality TV Personality,Influencer,Sasha Farber,Season 17,8,8.3
Brant Daugherty,28,White,Male,Leader,Actor,Acting,Peta Murgatroyd,Season 17,7,8.55357142857143
Elizabeth Berkley Lauren,41,White,Female,Follower,Actress,Acting,Valentin Chmerkovskiy,Season 17,6,8.73529411764706
Leah Remini,43,White,Female,Follower,Actress,Acting,Tony Dovolani,Season 17,5,8.20238095238095
Bill Engvall,56,White,Male,Leader,"Comedian, Actor",Other Shows,Emma Slater,Season 17,4,7.39795918367347
Jack Osbourne,28,White,Male,Leader,Reality TV Personality,Influencer,Cheryl Burke,Season 17,3,8.63461538461538
